MDLYR_DT,GBE_INDX_NUM,OV_ID,GBE_PLC_IND_CD,VC_RTD_HP_MSR,ECS_CD,TRNS
2009,1,L8JCD8152,N,235,,L6
2009,1,L8JCD8152,N,235,,L6
2009,3,L8JCD8152,N,235,,L6
2009,3,L8JCD8152,N,235,,L6
2009,4,L7JSC0243,N,173,,L4
2009,4,L7JSC0243,N,173,,L4
2009,201,L4PTC0806,N,220,,L4
2009,201,L4PTC0806,N,220,,L4
2009,202,L4PTC0810,N,220,,L4
2009,202,L4PTC0810,N,220,,L4
2009,202,L4PTC0813,N,220,,M4
2009,202,L4PTC0813,N,220,,M4
2009,202,L4PTC0813,N,220,,M4
2009,203,L6PMD7731,N,165,,M5
2009,203,L6PMD7731,N,165,,M5
2009,204,L6PMD7726,N,172,,AV
2009,204,L6PMD7726,N,172,,AV
2009,204,L6PMD7726,N,172,,AV
2009,205,L6MKJ9404,N,165,,AV
2009,205,L6MKJ9404,N,165,,AV
2009,206,L6MKJ9402,N,165,,M5
2009,206,L6MKJ9402,N,165,,M5
2009,207,L8PMD2616,N,280,,M6
2009,207,L8PMD2616,N,280,,M6
2009,208,L6MKJ9404,N,165,,AV
2009,208,L6MKJ9404,N,165,,AV
2009,209,L6MKJ9404,N,165,,AV
2009,209,L6MKJ9404,N,165,,AV
2009,211,L6MKJ9402,N,165,,M5
2009,211,L6MKJ9402,N,165,,M5
2009,212,L6MKJ9402,N,165,,M5
2009,212,L6MKJ9402,N,165,,M5
2009,214,L7JSC0243,N,150,,L4
2009,214,L7JSC0243,N,150,,L4
2009,215,L7JSC0249,N,190,,L4
2009,215,L7JSC0249,N,190,,L4
2009,217,L7JSC0249,N,190,,L4
2009,217,L7JSC0249,N,190,,L4
2009,218,K7JSC5477,N,200,,L4
2009,218,K7JSC5477,N,200,,L4
2009,219,V8JSC9249,N,235,,A6
2009,219,V8JSC9249,N,235,,A6
2009,220,L8RTK4885,N,170,,L4
2009,220,L8RTK4885,N,170,,L4
2009,220,L8RTK4885,N,170,,L4
2009,221,K8RTK0089,N,170,,L4
2009,221,K8RTK0089,N,170,,L4
2009,222,L8RTK4861,N,170,,L6
2009,222,L8RTK4861,N,170,,L6
2009,223,L8RTK4922,N,253,,L6
2009,223,L8RTK4922,N,253,,L6
2009,302,K5LXC6516,N,200,,L4
2009,302,K5LXC6516,N,200,,L4
2009,302,K5LXC6516,N,200,,L4
2009,302,K5LXC6516,N,200,,L4
2009,303,L6LXD6320,N,253,,L5
2009,303,L6LXD6320,N,253,,L5
2009,304,L9LXF5084,N,250,,L5
2009,304,L9LXF5084,N,250,,L5
2009,401,L9LXC6235,N,340,,L5
2009,401,L9LXC6235,N,340,,L5
2009,402,L9LCD3881,N,340,,M6
2009,402,L9LCD3881,N,340,,M6
2009,403,K5LXC6608,N,340,,L5
2009,403,K5LXC6608,N,340,,L5
2009,450,L9DS10852,N,345,,L5
2009,450,L9DS10852,N,345,,L5
2009,455,L9DS10852,N,345,,L5
2009,455,L9DS10852,N,345,,L5
2009,455,L9DS10852,N,345,,L5
2009,455,L9DS10852,N,345,,L5
2009,508,L9WKT2894,N,210,,L5
2009,508,L9WKT2894,N,210,,L5
2009,508,L9WKT2894,N,210,,L5
2009,508,L9WKT2894,N,210,,L5
2009,509,L9WKT2894,N,210,,L5
2009,509,L9WKT2894,N,210,,L5
2009,509,L9WKT2894,N,210,,L5
2009,509,L9WKT2894,N,210,,L5
2009,520,L7JKT9539,N,190,,L4
2009,520,L7JKT9539,N,190,,L4
2009,520,L7JKT9539,N,210,,L4
2009,520,L7JKT9539,N,210,,L4
2009,521,L7JKT9539,N,190,,L4
2009,521,L7JKT9539,N,190,,L4
2009,522,L7JKT9537,N,190,,M6
2009,522,L7JKT9537,N,190,,M6
2009,528,L7KA10570,N,210,,L4
2009,528,L7KA10570,N,210,,L4
2009,529,L7KA10570,N,210,,L4
2009,529,L7KA10570,N,210,,L4
2009,530,L7KA15076,N,260,,L5
2009,530,L7KA15076,N,260,,L5
2009,531,L7KA15076,N,260,,L5
2009,531,L7KA15076,N,260,,L5
2009,537,L5ND14804,N,210,,L4
2009,537,L5ND14804,N,210,,L4
2009,537,L9DS10846,N,215,,L4
2009,537,L9DS10846,N,215,,L4
2009,538,L5ND54825,N,215,,M6
2009,538,L5ND54825,N,215,,M6
2009,539,L5ND14803,N,210,,L4
2009,539,L5ND14803,N,210,,L4
2009,540,L5ND54825,N,215,,M6
2009,540,L5ND54825,N,215,,M6
2009,550,L8ND10890,N,295,,L5
2009,550,L8ND10890,N,295,,L5
2009,550,L8DR19263,N,295,,L5
2009,550,L8DR19263,N,295,,L5
2009,551,L9DS10848,N,310,,L5
2009,551,L9DS10848,N,310,,L5
2009,552,V6ND15059,N,235,,L5
2009,552,V6ND15059,N,235,,L5
2009,553,K8DR67387,N,295,,L5
2009,553,K8DR67387,N,295,,L5
2009,565,L6WKJ7428,N,425,,L5
2009,565,L6WKJ7428,N,425,,L5
2009,570,V5WKT7786,N,230,,L5
2009,570,V5WKT7786,N,230,,L5
2009,571,V5WKT7786,N,230,,L5
2009,571,V5WKT7786,N,230,,L5
2009,571,V5WKT7786,N,230,,L5
2009,571,V5WKT7786,N,230,,L5
2009,572,V6ND15059,N,235,,L5
2009,572,V6ND15059,N,235,,L5
2009,573,V6ND15059,N,235,,L5
2009,573,V6ND15059,N,235,,L5
2009,590,K9LCD6371,N,425,,M6
2009,590,K9LCD6371,N,425,,M6
2009,598,V8LXC0172,N,425,,L5
2009,598,V8LXC0172,N,425,,L5
2009,600,L8ZBD7285R,N,560,,M6
2009,600,L8ZBD7285R,N,560,,M6
2009,100,7ZF1-4.0-H-511,N,202,,L5
2009,100,7ZF1-4.0-H-511,N,202,,L5
2009,100,7ZF1-4.0-H-511,N,202,,L5
2009,100,7ZF1-4.0-H-511,N,202,,L5
2009,100,8ZF1-4.0-H-162,N,202,,L5
2009,100,8ZF1-4.0-H-162,N,202,,L5
2009,100,8ZF1-4.0-H-162,N,202,,L5
2009,100,8ZF1-4.0-H-162,N,202,,L5
2009,101,8ZF2-4.0-H-160,N,202,,M5
2009,101,8ZF2-4.0-H-160,N,202,,M5
2009,101,8ZF2-4.0-H-160,N,202,,M5
2009,101,8ZF2-4.0-H-160,N,202,,M5
2009,101,8ZF2-4.0-H-160,N,202,,M5
2009,101,8ZF2-4.0-H-160,N,202,,M5
2009,104,7ZF1-4.6-L-156,N,300,,L5
2009,104,7ZF1-4.6-L-156,N,300,,L5
2009,104,7ZF1-4.6-L-264,N,300,,L5
2009,104,7ZF1-4.6-L-264,N,300,,L5
2009,104,8ZF1-4.6-F-337,N,300,,L5
2009,104,8ZF1-4.6-F-337,N,300,,L5
2009,106,8ZF2-4.6-H-159,N,300,,M5
2009,106,8ZF2-4.6-H-159,N,300,,M5
2009,108,7ZF2-5.4-H-067,N,300,,M6
2009,108,7ZF2-5.4-H-067,N,300,,M6
2009,108,7ZF2-5.4-L-869,N,300,,M6
2009,108,7ZF2-5.4-L-869,N,300,,M6
2009,125,8AU1-2.0-C-967,N,138,,L4
2009,125,8AU1-2.0-C-967,N,138,,L4
2009,125,8AU1-2.0-C-967,N,132,,L4
2009,125,8AU1-2.0-C-967,N,132,,L4
2009,125,8AU1-2.0-F-966,N,138,,L4
2009,125,8AU1-2.0-F-966,N,138,,L4
2009,125,8AU1-2.0-F-966,N,138,,L4
2009,125,8AU1-2.0-F-966,N,138,,L4
2009,125,8AU1-2.0-L-313,N,140,,L4
2009,125,8AU1-2.0-L-313,N,140,,L4
2009,131,8AU2-2.0-L-323,N,138,,M5
2009,131,8AU2-2.0-L-323,N,138,,M5
2009,160,8DE1-2.3-H-407,N,160,,L5
2009,160,8DE1-2.3-H-407,N,160,,L5
2009,160,6DE1-2.3-C-404,N,160,,L5
2009,160,6DE1-2.3-C-404,N,160,,L5
2009,160,6DE1-2.3-C-404,N,160,,L5
2009,160,6DE1-2.3-C-404,N,160,,L5
2009,161,6DE2-2.3-L-502,N,160,,M5
2009,161,6DE2-2.3-L-502,N,160,,M5
2009,162,6DE1-3.0-F-128,N,217,,L6
2009,162,6DE1-3.0-F-128,N,217,,L6
2009,163,7DE1-3.0-C-408,N,221,,L6
2009,163,7DE1-3.0-C-408,N,221,,L6
2009,163,7DE1-3.0-C-408,N,221,,L6
2009,163,7DE1-3.0-C-408,N,221,,L6
2009,163,7DE1-3.0-F-401,N,210,,L6
2009,163,7DE1-3.0-F-401,N,210,,L6
2009,163,7DE1-3.0-F-401,N,210,,L6
2009,163,7DE1-3.0-F-401,N,210,,L6
2009,170,8DE1-2.3-H-407,N,160,,L5
2009,170,8DE1-2.3-H-407,N,160,,L5
2009,170,6DE1-2.3-C-404,N,160,,L5
2009,170,6DE1-2.3-C-404,N,160,,L5
2009,170,6DE1-2.3-C-404,N,160,,L5
2009,170,6DE1-2.3-C-404,N,160,,L5
2009,171,6DE2-2.3-L-502,N,160,,M5
2009,171,6DE2-2.3-L-502,N,160,,M5
2009,172,6DE1-3.0-F-128,N,217,,L6
2009,172,6DE1-3.0-F-128,N,217,,L6
2009,173,7DE1-3.0-C-408,N,221,,L6
2009,173,7DE1-3.0-C-408,N,221,,L6
2009,173,7DE1-3.0-C-408,N,221,,L6
2009,173,7DE1-3.0-C-408,N,221,,L6
2009,173,7DE1-3.0-F-401,N,210,,L6
2009,173,7DE1-3.0-F-401,N,210,,L6
2009,173,7DE1-3.0-F-401,N,210,,L6
2009,173,7DE1-3.0-F-401,N,210,,L6
2009,180,8PG1-3.5-H-100,N,265,,L6
2009,180,8PG1-3.5-H-100,N,265,,L6
2009,181,8PG1-3.5-H-105,N,265,,L6
2009,181,8PG1-3.5-H-105,N,265,,L6
2009,190,9LE3-3.7-H-829,N,270,,L6
2009,190,9LE3-3.7-H-829,N,270,,L6
2009,190,9LE3-3.7-H-829,N,270,,L6
2009,190,9LE3-3.7-H-829,N,270,,L6
2009,191,9LE3-3.7-H-829,N,270,,L6
2009,191,9LE3-3.7-H-829,N,270,,L6
2009,191,9LE3-3.7-H-829,N,270,,L6
2009,191,9LE3-3.7-H-829,N,270,,L6
2009,312,9P31-3.5-H-733,N,262,,L6
2009,312,9P31-3.5-H-733,N,262,,L6
2009,313,7Q11-3.5-C-064,N,265,,L6
2009,313,7Q11-3.5-C-064,N,265,,L6
