Model Year,Represented Test Veh Make,Represented Test Veh Model,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Drive System Code
2016,Aston Martin,DB9,Car,510,12,R
2016,Aston Martin,DB9,Car,510,12,R
2016,Aston Martin,Rapide S,Car,552,12,R
2016,Aston Martin,Rapide S,Car,552,12,R
2016,Aston Martin,V12 Vantage S,Car,565,12,R
2016,Aston Martin,V12 Vantage S,Car,565,12,R
2016,Aston Martin,V8 VANTAGE,Car,420,8,R
2016,Aston Martin,V8 VANTAGE,Car,420,8,R
2016,Aston Martin,V8 VANTAGE S,Car,430,8,R
2016,Aston Martin,V8 VANTAGE S,Car,430,8,R
2016,Aston Martin,Vanquish,Car,568,12,R
2016,Aston Martin,Vanquish,Car,568,12,R
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A4,Car,211,4,F
2016,AUDI,A8,Car,240,,A
2016,AUDI,A8,Car,240,,A
2016,AUDI,A8,Car,240,,A
2016,AUDI,A8,Car,240,,A
2016,AUDI,A8,Car,240,,A
2016,AUDI,A8,Car,240,,A
2016,AUDI,A8,Car,240,,A
2016,AUDI,Q5,Both,272,6,F
2016,AUDI,Q5,Both,272,6,F
2016,AUDI,Q5,Both,272,6,F
2016,AUDI,Q5,Both,272,6,F
2016,AUDI,Q5,Both,272,6,F
2016,AUDI,Q5,Both,272,6,F
2016,AUDI,Q5,Both,272,6,F
2016,AUDI,Q5,Truck,211,4,A
2016,AUDI,Q5,Truck,211,4,A
2016,AUDI,Q5,Both,211,4,A
2016,AUDI,Q5,Both,211,4,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
2016,AUDI,Q5,Both,240,6,A
